Country Name,Capital,Continent,Area (km²),Area_2020,Population Density (per km²),Population Growth Rate,World Population Percentage,Population Rank,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,
Aruba,Oranjestad,North America,180,5,591.3611,0.9991,0,198,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,,,,,,,,,,,,
Afghanistan,Kabul,Asia,652230,12073,63.0587,1.0257,0.52,36,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,,,,,,,,,,,,
Angola,Luanda,Africa,1246700,666074,28.5466,1.0315,0.45,42,63.58,63.45,63.33,63.20,63.08,62.95,62.83,62.71,62.58,62.46,62.33,61.89,61.44,61.00,60.55,60.11,59.66,59.21,58.77,58.32,57.88,57.43,56.99,56.54,56.10,55.65,55.21,54.76,54.32,53.87,53.43,,,,,,,,,,,,
Albania,Tirana,Europe,28748,8278,98.8702,0.9957,0.04,138,28.79,28.72,28.65,28.57,28.50,28.43,28.36,28.29,28.22,28.15,28.08,28.12,28.17,28.22,28.26,28.31,28.36,28.40,28.45,28.50,28.54,28.59,28.65,28.70,28.75,28.80,28.80,28.79,28.79,28.79,28.79,,,,,,,,,,,,
Andorra,Andorra la Vella,Europe,468,160,170.5641,1.01,0,203,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,,,,,,,,,,,,
United Arab Emirates,Abu Dhabi,Asia,83600,3736,112.9322,1.0081,0.12,97,3.45,3.54,3.63,3.72,3.81,3.90,3.99,4.08,4.18,4.27,4.36,4.37,4.38,4.39,4.40,4.41,4.42,4.43,4.45,4.46,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,,,,,,,,,,,,
Argentina,Buenos Aires,South America,2780400,290294,16.3683,1.0052,0.57,33,12.86,12.80,12.73,12.66,12.60,12.53,12.46,12.40,12.33,12.26,12.20,12.08,11.97,11.85,11.73,11.62,11.50,11.39,11.27,11.16,11.04,10.96,10.88,10.80,10.71,10.63,10.60,10.56,10.52,10.48,10.44,,,,,,,,,,,,
Armenia,Yerevan,Asia,29743,3432,93.4831,0.9962,0.03,140,11.77,11.75,11.74,11.74,11.73,11.72,11.71,11.71,11.70,11.69,11.68,11.68,11.67,11.66,11.65,11.65,11.64,11.63,11.63,11.62,11.61,11.60,11.60,11.59,11.58,11.57,11.57,11.56,11.55,11.54,11.54,,,,,,,,,,,,
American Samoa,Pago Pago,Oceania,199,171,222.4774,0.9831,0,213,90.35,90.18,90.01,89.84,89.67,89.50,89.33,89.16,88.99,88.82,88.65,88.50,88.35,88.20,88.05,87.90,87.75,87.60,87.45,87.30,87.15,87.00,86.85,86.70,86.55,86.40,86.25,86.10,85.95,85.80,85.65,,,,,,,,,,,,
Antigua and Barbuda,Saint John’s,North America,442,82,212.1335,1.0058,0,201,22.98,22.83,22.68,22.53,22.38,22.23,22.08,21.93,21.78,21.63,21.48,21.33,21.17,21.02,20.87,20.72,20.56,20.41,20.26,20.11,19.95,19.80,19.65,19.50,19.35,19.20,19.05,18.91,18.75,18.59,18.45,,,,,,,,,,,,
Australia,Canberra,Oceania,7692024,1340052,3.4032,1.0099,0.33,55,17.43,17.40,17.37,17.35,17.32,17.29,17.27,17.24,17.21,17.19,17.16,17.13,17.10,17.07,17.04,17.01,16.98,16.95,16.92,16.89,16.86,16.96,17.05,17.14,17.23,17.32,17.43,17.42,17.42,17.42,17.42,,,,,,,,,,,,
Austria,Vienna,Europe,83871,39630,106.5877,1.002,0.11,99,45.72,45.80,45.87,45.95,46.02,46.10,46.18,46.25,46.33,46.40,46.48,46.51,46.54,46.57,46.60,46.63,46.66,46.69,46.72,46.75,46.79,46.84,46.88,46.94,46.99,47.03,47.08,47.12,47.16,47.21,47.25,,,,,,,,,,,,
Azerbaijan,Baku,Asia,86600,11859,119.6082,1.0044,0.13,91,10.24,10.28,11.45,11.51,11.56,11.61,11.66,11.71,11.78,11.89,11.95,12.01,12.06,12.11,12.16,12.22,12.28,12.33,12.39,12.44,12.49,12.60,12.71,12.82,12.93,13.04,13.15,13.27,13.41,13.55,13.69,,,,,,,,,,,,
Burundi,Bujumbura,Africa,27834,3031,463.0874,1.027,0.16,78,10.77,10.44,10.12,9.80,9.48,9.16,8.84,8.52,8.20,7.87,7.55,7.55,7.55,7.55,7.55,7.55,7.55,7.55,7.55,7.55,7.55,8.22,8.89,9.55,10.22,10.89,10.89,10.89,10.89,10.89,10.89,,,,,,,,,,,,
Belgium,Brussels,Europe,30528,6950,381.8111,1.0038,0.15,81,23.25,23.23,23.20,23.17,23.14,23.11,23.09,23.06,23.03,23.00,22.04,22.11,22.19,22.26,22.34,22.41,22.48,22.56,22.63,22.71,22.78,22.78,22.78,22.77,22.77,22.76,22.76,22.76,22.76,22.76,22.76,,,,,,,,,,,,
Benin,Porto-Novo,Africa,112622,31314,118.5635,1.0274,0.17,77,42.88,42.26,41.64,41.02,40.40,39.78,39.16,38.53,37.91,37.29,36.67,36.23,35.79,35.34,34.90,34.46,34.01,33.57,33.12,32.68,32.24,31.79,31.35,30.91,30.46,30.02,29.58,29.13,28.69,28.25,27.80,,,,,,,,,,,,
Burkina Faso,Ouagadougou,Africa,272967,62021,83.0641,1.0259,0.28,58,28.20,28.02,27.84,27.66,27.47,27.29,27.11,26.92,26.74,26.56,26.38,26.19,26.01,25.83,25.65,25.46,25.28,25.10,24.91,24.73,24.55,24.37,24.18,24.00,23.82,23.63,23.45,23.27,23.09,22.90,22.72,,,,,,,,,,,,
Bangladesh,Dhaka,Asia,147570,21352,1160.035,1.0108,2.15,8,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.73,14.70,14.68,14.65,14.63,14.61,14.58,14.56,14.53,14.51,14.50,14.49,14.48,14.48,14.47,14.47,14.47,14.47,14.47,14.47,,,,,,,,,,,,
Bulgaria,Sofia,Europe,110879,39762,61.1654,0.9849,0.09,108,30.07,30.12,30.16,30.20,30.25,30.29,30.33,30.38,30.42,30.46,30.51,30.83,31.69,32.03,32.36,32.73,33.07,33.41,33.74,34.09,34.42,34.60,34.78,34.95,35.13,35.31,35.38,35.50,35.62,35.74,35.86,,,,,,,,,,,,
Bahrain,Manama,Asia,765,7,1924.4876,1.0061,0.02,154,0.32,0.34,0.35,0.37,0.39,0.42,0.44,0.46,0.48,0.50,0.52,0.54,0.56,0.58,0.59,0.60,0.62,0.63,0.64,0.66,0.68,0.70,0.72,0.74,0.76,0.77,0.80,0.82,0.85,0.87,0.90,,,,,,,,,,,,
"Bahamas, The",Nassau,North America,13943,7102,29.4043,1.0051,0.01,176,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,,,,,,,,,,,,
Bosnia and Herzegovina,Sarajevo,Europe,51209,21883,63.1437,0.9886,0.04,137,43.16,43.07,42.78,42.59,42.40,42.20,42.01,41.82,41.63,41.44,41.24,41.23,41.21,41.19,41.17,41.16,41.14,41.12,41.10,41.09,41.07,41.29,41.52,41.75,41.97,42.20,42.51,42.73,42.73,42.73,42.73,,,,,,,,,,,,
Belarus,Minsk,Europe,207600,89672,45.9295,0.9955,0.12,96,38.36,38.84,38.84,39.08,39.33,39.57,39.81,40.06,40.30,40.54,40.79,40.96,41.14,41.32,41.50,41.67,41.83,42.01,42.18,42.37,42.53,42.53,42.54,42.54,42.53,42.53,42.91,42.98,43.05,43.12,43.19,,,,,,,,,,,,
